"","circuitId","circuitRef","Circuit","location","country","lat","lng","alt","raceId","year","round","grand_prix","race_date","race_time"
"565",18,"interlagos","Autódromo José Carlos Pace","São Paulo","Brazil",-23.7036,-46.6997,785,606,1973,2,"Brazilian Grand Prix",1973-02-11,"\N"
"566",18,"interlagos","Autódromo José Carlos Pace","São Paulo","Brazil",-23.7036,-46.6997,785,859,2011,19,"Brazilian Grand Prix",2011-11-27,"16:00:00"
"567",18,"interlagos","Autódromo José Carlos Pace","São Paulo","Brazil",-23.7036,-46.6997,785,879,2012,20,"Brazilian Grand Prix",2012-11-25,"16:00:00"
"568",18,"interlagos","Autódromo José Carlos Pace","São Paulo","Brazil",-23.7036,-46.6997,785,899,2013,19,"Brazilian Grand Prix",2013-11-24,"16:00:00"
"569",18,"interlagos","Autódromo José Carlos Pace","São Paulo","Brazil",-23.7036,-46.6997,785,917,2014,18,"Brazilian Grand Prix",2014-11-09,"16:00:00"
"570",18,"interlagos","Autódromo José Carlos Pace","São Paulo","Brazil",-23.7036,-46.6997,785,944,2015,18,"Brazilian Grand Prix",2015-11-15,"16:00:00"
"571",18,"interlagos","Autódromo José Carlos Pace","São Paulo","Brazil",-23.7036,-46.6997,785,967,2016,20,"Brazilian Grand Prix",2016-11-13,"16:00:00"
"572",18,"interlagos","Autódromo José Carlos Pace","São Paulo","Brazil",-23.7036,-46.6997,785,987,2017,19,"Brazilian Grand Prix",2017-11-12,"16:00:00"
"573",18,"interlagos","Autódromo José Carlos Pace","São Paulo","Brazil",-23.7036,-46.6997,785,1008,2018,20,"Brazilian Grand Prix",2018-11-11,"17:10:00"
"574",18,"interlagos","Autódromo José Carlos Pace","São Paulo","Brazil",-23.7036,-46.6997,785,1029,2019,20,"Brazilian Grand Prix",2019-11-17,"17:10:00"
"575",18,"interlagos","Autódromo José Carlos Pace","São Paulo","Brazil",-23.7036,-46.6997,785,1071,2021,19,"São Paulo Grand Prix",2021-11-14,"17:00:00"
"576",18,"interlagos","Autódromo José Carlos Pace","São Paulo","Brazil",-23.7036,-46.6997,785,1095,2022,21,"São Paulo Grand Prix",2022-11-13,"18:00:00"
"577",18,"interlagos","Autódromo José Carlos Pace","São Paulo","Brazil",-23.7036,-46.6997,785,1118,2023,20,"São Paulo Grand Prix",2023-11-05,"17:00:00"
"578",19,"indianapolis","Indianapolis Motor Speedway","Indianapolis","USA",39.795,-86.2347,223,42,2007,7,"United States Grand Prix",2007-06-17,"17:00:00"
"579",19,"indianapolis","Indianapolis Motor Speedway","Indianapolis","USA",39.795,-86.2347,223,62,2006,10,"United States Grand Prix",2006-07-02,"14:00:00"
"580",19,"indianapolis","Indianapolis Motor Speedway","Indianapolis","USA",39.795,-86.2347,223,79,2005,9,"United States Grand Prix",2005-06-19,"14:00:00"
"581",19,"indianapolis","Indianapolis Motor Speedway","Indianapolis","USA",39.795,-86.2347,223,98,2004,9,"United States Grand Prix",2004-06-20,"\N"
"582",19,"indianapolis","Indianapolis Motor Speedway","Indianapolis","USA",39.795,-86.2347,223,122,2003,15,"United States Grand Prix",2003-09-28,"\N"
